,reviews_classified_all
279,o banco e otimo mas peca em permitir que apenas 50 do limite seja liberado para pagar boletos liberaram a funcao pra mim eu achei que era vantagem mas nao alem de limitar 2 boletos por ciclo sem exagero vou seguir pagando via marcado pago quando necessario e pagar a taxa de 2890 fazer o que nubank e bom mas limita muito a gente a querer concentrar somente nele entradas e saidas
280,baixei o aplicativo diz que fui aprovado pedi pra entrar no aplicativo nunca chegou nenhuma senha ai nao consigo entrar o aplicativo
281,nunca nem recebi resposta se foi ou nao aprovada mas do vive mandando email pra me dizendo que fui aprovada
282,excelente o melhor
283,ja fiz varios vezes e nunca loberou pra me estou muito chatiada com nu
284,e ter limites bons para que possa fazer movimentacao e compras
285,gosto muito do nubank daria mais estrela muito bom sem anuidade sem tarifas abusivas so achei muito pouquinho o meu limite por enquanto to usando como secundario devido a anos meu limite ser o mesmo
286,uso esse cartao a tempo movimento bem a conta ate agora so liberaram um credito de 50 reais estou precisando de um emprestimo eles nao libera
287,otimo
288,muito bom facil demais para mexer nao tem dificuldade em ameiiiii nao tenho de que reclamar recomendado todos baixar e usar
289,esse e um cartao que veio pra historia e dos nelher
290,amei o meu cartao o aplicativo muito bom mesmo o unico problema e o a seguranca do aplicativo porque toda vez que vou passar o cartao ai depois aparece que minha comprar foi negada mais eu nao comprei nada todo dia a parece nodificacao que minha comprar foi negada acho que clonaram meu cartao
291,o banco e otimo e o aplicativo e muito facil de usarsou criente do nu ha um tempo e estou gostando muitoestao de parabens
292,boa tarde ja faz 5 dias que nao consigo pagar nem fazer pix cartao debito tambem nao esta passando gostaria de uma resposta deste ja agradeco muito
293,otimo
294,com todo respeito mais isso e um aplicativo horrivel eu fiz cinco vezes mesma senha quando vou entrar com minha senha que fiz nao consigo isso so pra colocar nosso documento em risco
295,otimo aplicativo consigo acompanhar tudo
296,otimo
297,poxa o cartao e otimo mas voces poderiam pelo menos aumentar o valor uns 100 reais ja da pra fazer alguma coisa agora 50 reais nao da pra fazer nada fora isso tudo certo
298,nao tenho ainda mais os comentarios sao os melhores possiveis na operacao
